gene_id	gene_name	S1_H1_STOP_GFP_gRNA1	S2_H1_STOP_GFP_gRNA2	S3_H1_STOP_MYCN_gRNA1	S4_H1_STOP_MYCN_gRNA2	S5_H2_STOP_GFP_gRNA1	S6_H2_STOP_GFP_gRNA2	S7_H2_STOP_MYCN_gRNA1	S8_H2_STOP_MYCN_gRNA2
ENSG00000000003.17	TSPAN6	1249	824	839.999	391	337	251	325.001	429
ENSG00000000005.6	TNMD	9	97	619	57	311	426	0	51
ENSG00000000419.15	DPM1	634	615	830	1016	603.001	491.999	784.999	825
ENSG00000000457.15	SCYL3	379	335.999	253	244.001	198.999	167	143.999	223.001
ENSG00000000460.18	FIRRM	470	397.999	529.999	315.999	425	409	405.001	511.999
ENSG00000000938.14	FGR	0	7	4	1	0	1	0	4
ENSG00000000971.18	CFH	422.287	973.345	1292.843	354.85	2214.744	2882.857	1206.62	487.141
ENSG00000001036.15	FUCA2	404	558	266	188	178	165	192	253
ENSG00000001084.14	GCLC	726.001	634	828.001	697.001	332	286	587.002	662.001
ENSG00000001167.16	NFYA	1418	1692.001	2380	1436	1080	1338.999	1543.001	1852.002
ENSG00000001460.19	STPG1	77	80.001	91	68	102	44	73	89
ENSG00000001461.20	NIPAL3	444.999	533	464	250.001	457.001	300.999	426	388.001
ENSG00000001497.19	LAS1L	966	1041.999	1082	732.001	639	511	787	1013.001
ENSG00000001561.8	ENPP4	391	259	50	117	129	118	103	0
ENSG00000001617.13	SEMA3F	83	208.001	1839.999	826	267	142.999	656.001	1087.999
ENSG00000001626.19	CFTR	0	4	2	5	0	0	0	0
ENSG00000001629.11	ANKIB1	2276.999	3063	1647.001	1283	1621.999	1342.999	1058	1432.001
ENSG00000001630.19	CYP51A1	2784.531	3000.271	3103.764	2944.398	1730.278	1144.86	1208.844	1819.647
ENSG00000001631.18	KRIT1	1829.463	1742.649	2145.941	2061.086	1978.395	1837.168	1936.673	1919.071
ENSG00000002016.19	RAD52	454.257	402.57	505.509	282.42	351.492	241.001	379	392
ENSG00000002330.15	BAD	141	141.999	98	57	96	52	40	92
ENSG00000002549.14	LAP3	309	331.001	494	127	243.999	185	330	465.002
ENSG00000002586.21	CD99	930.507	832.837	347.893	909.266	601.913	615.983	84.081	442.171
ENSG00000002587.11	HS3ST1	177	198	15	51	72	36	3	0
ENSG00000002726.22	AOC1	0	0	0	0	0	0	0	0
ENSG00000002745.13	WNT16	5	21	20	19	2	14	4	0
ENSG00000002746.16	HECW1	1771	1381.999	154.999	326	445	238.001	52	24
ENSG00000002822.17	MAD1L1	406	308.634	426.67	336	242	288.688	306.206	338.999
ENSG00000002834.20	LASP1	2497.001	3840.001	2177.001	1135	2616	2106	1132	1472.001
ENSG00000002919.16	SNX11	326.001	372.001	236	255.001	97	130	153	122.001
ENSG00000002933.10	TMEM176A	58	70	11	7	22	39	24	11
ENSG00000003056.9	M6PR	855.001	1204	1050	675	513	479	701	832
ENSG00000003096.16	KLHL13	3797.002	3287	2215.999	1769.999	821	753	965	1146
ENSG00000003137.9	CYP26B1	182	878.001	520	143	533	642	407	310
ENSG00000003147.20	ICA1	213	111	132.001	83	449.999	119.001	206.001	704
ENSG00000003249.16	DBNDD1	255	327	66	160	90	40	155	186.999
ENSG00000003393.17	ALS2	2739.999	2647.999	1998.002	1554	2065.001	2191.999	1384	1674.998
ENSG00000003400.17	CASP10	10	26	9	38	11	46	39	82.001
ENSG00000003402.22	CFLAR	1643.998	1793	989.691	680.999	1456.998	1395.999	664.999	823.001
ENSG00000003436.17	TFPI	1194	1934	1041.998	180	2223	2686.999	491.001	1312.001
ENSG00000003509.17	NDUFAF7	504	510.999	459.001	566.999	410	435.999	359	372.999
ENSG00000003756.18	RBM5	3614.999	3663	3154.999	2411.003	3517.303	2945.001	2075.999	3003
ENSG00000003987.15	MTMR7	444	337	90	240	314.999	172	187	261
ENSG00000003989.19	SLC7A2	160	328	1237	455.998	340	317	1015	770
ENSG00000004059.12	ARF5	561.275	649.201	620.99	272.183	205.697	230.781	236.861	335
ENSG00000004139.15	SARM1	2887.778	2622.441	1438.017	2103.038	1165.999	1082.771	837	1160.758
ENSG00000004142.13	POLDIP2	733.999	1001	1068.001	517	341.999	325.999	408	499
ENSG00000004399.14	PLXND1	1418	2002	2043.999	592.999	1635	2187.001	1662	4193.001
ENSG00000004455.19	AK2	2031.999	1974	2430.999	1683.001	1913.999	1721.001	2119.999	2375.001
ENSG00000004468.14	CD38	12	6	5	0	10	9	15	0
ENSG00000004478.9	FKBP4	501	613	1781	1995	269	342	1334.999	1530.999
ENSG00000004487.19	KDM1A	2981	3172.999	5169.999	3856	1694	1565	3842	4144.001
ENSG00000004534.16	RBM6	1549.001	1527.001	1318.001	1273.001	1404.697	1254	1124.002	1278.999
ENSG00000004660.16	CAMKK1	102	191	254	159.999	149.001	75	137	169
ENSG00000004700.17	RECQL	823	1007.001	543	397.999	505	508.999	333	326
ENSG00000004766.18	VPS50	722.999	761.999	630.999	403.002	457.999	467.999	444	474
ENSG00000004776.14	HSPB6	9	36	29	9	25	64	45	31
ENSG00000004777.19	ARHGAP33	843.999	1033.001	458.001	766	403	417.001	323	385
ENSG00000004779.11	NDUFAB1	117	229	210	81.999	120	71	117	92
ENSG00000004799.9	PDK4	153	281	214	178	495	891	141	229.001
ENSG00000004809.15	SLC22A16	0	0	0	0	0	3	0	7
ENSG00000004838.15	ZMYND10	17	49.999	41	48	47	2	13	14
ENSG00000004846.17	ABCB5	0	0	5	0	0	1	0	5
ENSG00000004848.8	ARX	23	25	0	0	0	0	0	3
ENSG00000004864.15	SLC25A13	444.999	471	691	242.999	318	229	340	479
ENSG00000004866.23	ST7	744.001	877	786.657	534.859	429.121	418.893	480.001	964.999
ENSG00000004897.13	CDC27	2169	2566	2181.001	1163.996	1475.001	1172.999	1040	1454.001
ENSG00000004939.16	SLC4A1	0	0	9	5	0	0	5	0
ENSG00000004948.17	CALCR	1	2	0	0	0	0	0	0
ENSG00000004961.16	HCCS	145	117	137	111	29	21	40	48
ENSG00000004975.13	DVL2	1169	1323.001	1731.999	1164	1075.001	969.999	961	1314.001
ENSG00000005001.11	PRSS22	2	0	0	3	0	0	0	0
ENSG00000005007.15	UPF1	1317	1642	1791.002	989.999	881	836.999	975.999	1117.999
ENSG00000005020.14	SKAP2	840	605	228.001	107	440	537.999	278	134
ENSG00000005022.7	SLC25A5	1660	913.999	3080	1329	359	252	1002	1032
ENSG00000005059.17	MCUB	196	197	13	21	0	44	13	8
ENSG00000005073.6	HOXA11	0	6	22	1	3	4	2	16
ENSG00000005075.17	POLR2J	63.85	44.544	64.955	38.664	48.649	43.039	34.656	56.947
ENSG00000005100.13	DHX33	604	762	1842	1148	306	342	1151	1078
ENSG00000005102.15	MEOX1	23.001	60	688.999	120	760	991	268	571.999
ENSG00000005108.17	THSD7A	1983	3063	1510	1820	597	938	177.999	997
ENSG00000005156.13	LIG3	2726.999	2807.001	5095.002	3187.999	1992	1872.001	2980.002	3013.998
ENSG00000005175.11	RPAP3	722.999	716	700.001	482.999	414	408.001	454.002	508.001
ENSG00000005187.13	ACSM3	14	35	71.999	25	22	16	43	56
ENSG00000005189.21	REXO5	98	57.999	73.002	72	52	23	78.001	33
ENSG00000005194.16	CIAPIN1	431	444	402.001	274	251	103	324	389
ENSG00000005206.18	SPPL2B	957.887	1062.999	1156	1093.999	589.999	494	829.999	708.001
ENSG00000005238.21	ATOSB	385	555.999	114	296	169	117	137	117.999
ENSG00000005243.11	COPZ2	13	58	11	17	18	37	0	0
ENSG00000005249.15	PRKAR2B	940	929.001	627.001	620	369	183	282	212.999
ENSG00000005302.19	MSL3	710	713	674.001	506.999	222	252.999	209.999	288.001
ENSG00000005339.15	CREBBP	4386.999	5042.999	4621.999	3058.002	4310	4821	2687	3835.001
ENSG00000005379.17	TSPOAP1	700.999	802.999	656.999	655	435	212.999	409.999	337.999
ENSG00000005381.9	MPO	19.001	20	0	17	0	0	0	10
ENSG00000005421.10	PON1	0	0	8	9	0	8	0	3
ENSG00000005436.15	GCFC2	478	454	868.998	385	311	272.001	589	434.001
ENSG00000005448.18	WDR54	126	133.999	82	103	72	40	122	107
ENSG00000005469.13	CROT	262	259.001	164.001	93	167	156	87	91
ENSG00000005471.20	ABCB4	258.999	202	31	45	15	26	130.001	34
ENSG00000005483.23	KMT2E	3271	3614.001	2109.001	2226.001	2600	1927.998	1764.998	2149.001
ENSG00000005486.18	RHBDD2	764.001	919	515	308.999	263	217	197	280
ENSG00000005513.11	SOX8	717	947	562	567	406	319.001	1022.001	1519.001
ENSG00000005700.16	IBTK	2107.001	2247.999	1900	1226.999	1350	1150	1524	1651
ENSG00000005801.19	ZNF195	1673	1582.999	1793	1470.998	601.999	545	1006.001	1186.001
ENSG00000005810.21	MYCBP2	7603.001	8531.001	6529	5143.999	7430	8026.001	6490.999	6373.001
ENSG00000005812.12	FBXL3	1378.001	1484.999	972	898	1179	1116	808	697
ENSG00000005844.20	ITGAL	0	5	3	4	8	2	3	0
ENSG00000005882.13	PDK2	409.001	449	579	198	369	308.001	212	376
ENSG00000005884.19	ITGA3	775.001	651	85	61	305	151	15	185
ENSG00000005889.17	ZFX	3960	4314	4136.003	2184.001	1453	1760	1163.999	1615.999
ENSG00000005893.18	LAMP2	3795.002	4943.001	1550	1286	1692.999	1833	920.999	1002
ENSG00000005961.20	ITGA2B	52	61	51	38.001	69	50	44	38
ENSG00000005981.14	ASB4	10	2	46	3	15	51	0	23
ENSG00000006007.13	GDE1	816.999	834	747	362	220	219.001	266	294
ENSG00000006015.19	REX1BD	183.999	179.001	340	199	97	110	184.001	212
ENSG00000006016.13	CRLF1	2	23	5	12	18	14	11	21
ENSG00000006025.14	OSBPL7	357.999	384.999	272	109.999	239.001	156	201.999	203.999
ENSG00000006042.13	TMEM98	631	768.999	705	509	507	514	321	371
ENSG00000006047.14	YBX2	10	20	13	16	80	22	0	14
ENSG00000006059.4	KRT33A	0	0	0	0	0	0	0	0
ENSG00000006062.19	MAP3K14	397	420.001	295	213.999	270.001	253.999	293.001	325.001
ENSG00000006071.16	ABCC8	290.999	169.999	193	255.002	468	150.999	198	118.001
ENSG00000006116.5	CACNG3	18	31	0	0	0	0	0	0
ENSG00000006118.15	TMEM132A	1377.002	1467.999	2330	1097	884.001	592	1582	2636
ENSG00000006125.19	AP2B1	7652.001	9461	4994.999	4181	3593	3017	2998	3656.001
ENSG00000006128.13	TAC1	57	51.999	351	47	16	109.001	38	11
ENSG00000006194.12	ZNF263	707	966	1048	813	563	745.001	614	700.001
ENSG00000006210.7	CX3CL1	435	467	190	95	147	99	75	126
ENSG00000006282.23	SPATA20	433	510	684	204.774	365.001	292	246.001	303.999
ENSG00000006283.18	CACNA1G	952.001	2045	1280	390.999	2003.001	2119.999	322.001	485.999
ENSG00000006327.15	TNFRSF12A	387	420.001	338	93	104	184	37	100
ENSG00000006377.11	DLX6	83	23	91	14	26	15	101	4
ENSG00000006432.17	MAP3K9	769.999	815	479	853	392	265	139	309
ENSG00000006451.9	RALA	1239	1231	708.999	560	348.999	371	363.001	381
