gene_id	gene_name	S1_H1_STOP_GFP_gRNA1	S2_H1_STOP_GFP_gRNA2	S3_H1_STOP_MYCN_gRNA1	S4_H1_STOP_MYCN_gRNA2	S5_H2_STOP_GFP_gRNA1	S6_H2_STOP_GFP_gRNA2	S7_H2_STOP_MYCN_gRNA1	S8_H2_STOP_MYCN_gRNA2
ENSG00000000003.17	TSPAN6	44.693922	25.580324	30.694536	21.352357	12.74883	18.25347	17.525391	25.623266
ENSG00000000005.6	TNMD	0.498335	4.380285	34.814891	6.87846	22.864504	40.924857	0	4.916573
ENSG00000000419.15	DPM1	24.997614	20.136847	28.999247	59.043325	29.812315	26.994517	35.989908	39.312884
ENSG00000000457.15	SCYL3	5.920163	4.417227	3.964146	7.271154	5.44478	3.676718	3.870704	5.497619
ENSG00000000460.18	FIRRM	11.912913	6.503656	10.806561	12.982254	7.798871	14.583821	15.020944	17.601499
ENSG00000000938.14	FGR	0	0.152416	0.088172	0.055287	0	0.049306	0	0.325162
ENSG00000000971.18	CFH	6.083749	11.263943	17.753125	9.680019	53.245234	67.484668	26.695149	10.336299
ENSG00000001036.15	FUCA2	10.326702	15.231931	8.563085	11.831418	13.138198	6.688923	8.098459	12.112317
ENSG00000001084.14	GCLC	16.161322	11.334024	18.439514	28.427452	16.29089	9.821942	29.523409	26.936595
ENSG00000001167.16	NFYA	15.948792	16.427087	24.166502	23.764895	13.940084	21.262998	21.518569	26.494362
ENSG00000001460.19	STPG1	1.819381	1.55717	1.635408	2.139438	5.769944	1.6744	2.938019	2.264736
ENSG00000001461.20	NIPAL3	4.912484	5.266489	4.954294	5.341914	8.068721	6.648724	10.805408	7.74727
ENSG00000001497.19	LAS1L	9.795544	11.024321	12.302116	12.996464	11.890046	6.921229	13.08196	14.976011
ENSG00000001561.8	ENPP4	4.564964	2.465502	0.52301	2.349096	2.034328	2.113312	1.682397	0
ENSG00000001617.13	SEMA3F	1.392963	2.795729	35.458306	29.297562	8.466627	4.212028	18.918391	30.092535
ENSG00000001626.19	CFTR	0	0.030549	0.313121	1.095263	0	0	0	0
ENSG00000001629.11	ANKIB1	35.917743	38.943207	27.799312	52.030759	44.351847	49.587689	39.192095	45.194416
ENSG00000001630.19	CYP51A1	57.873165	50.498148	59.261205	109.070834	50.406456	36.512417	37.177162	56.613054
ENSG00000001631.18	KRIT1	26.932565	21.716345	26.946165	48.495879	40.610695	39.766847	37.687379	37.716608
ENSG00000002016.19	RAD52	10.166736	13.709763	17.416151	14.918697	28.046656	13.977877	13.850442	18.702932
ENSG00000002330.15	BAD	12.788467	8.941406	7.152586	6.522831	9.828327	7.937359	4.132749	8.752313
ENSG00000002549.14	LAP3	12.765658	10.017093	15.907983	7.761674	15.36226	12.380234	22.660972	27.361451
ENSG00000002586.21	CD99	57.166186	43.427141	19.437621	105.352942	56.458315	62.076011	7.281744	42.118276
ENSG00000002587.11	HS3ST1	4.048527	4.037925	0.458281	2.049394	2.959517	2.093485	0.157725	0
ENSG00000002726.22	AOC1	0	0	0	0	0	0	0	0
ENSG00000002745.13	WNT16	0.153109	0.304301	0.457797	0.580405	0.143226	0.381728	0.09935	0
ENSG00000002746.16	HECW1	41.038024	20.555857	3.750971	9.8625	17.407734	9.313734	0.854276	0.251377
